home_team,away_team,prop_odds_game_id,sportsbook,home_team_odds,away_team_odds,home_probability,away_probability,home_consensus_prob,away_consensus_prob,home_statistical_edge,away_statistical_edge,home_exp_value,away_exp_value,home_bet_size,away_bet_size,payout
Charlotte Hornets,Boston Celtics,d7542b1e071f8e6eaf5b8471ff355514,fanduel,310,-390,0.22399203583872573,0.7760079641612743,0.20761254503105425,0.7923874549689458,0.8512114346273224,0.9955637254738037,0.0,0.0,0,0,
Charlotte Hornets,Boston Celtics,d7542b1e071f8e6eaf5b8471ff355514,draftkings,350,-455,0.20120120120120122,0.7987987987987988,0.20761254503105425,0.7923874549689458,0.9342564526397441,0.9665385439731098,0.0,0.0,0,0,
Charlotte Hornets,Boston Celtics,d7542b1e071f8e6eaf5b8471ff355514,betmgm,350,-450,0.202020202020202,0.797979797979798,0.20761254503105425,0.7923874549689458,0.9342564526397441,0.9684735560731561,0.0,0.0,0,0,
Charlotte Hornets,Boston Celtics,d7542b1e071f8e6eaf5b8471ff355514,barstool,340,-425,0.20887445887445885,0.7911255411255411,0.20761254503105425,0.7923874549689458,0.9134951981366388,0.9788315620204625,0.0,0.0,0,0,
Charlotte Hornets,Boston Celtics,d7542b1e071f8e6eaf5b8471ff355514,betrivers,350,-455,0.20120120120120122,0.7987987987987988,0.20761254503105425,0.7923874549689458,0.9342564526397441,0.9665385439731098,0.0,0.0,0,0,
Detroit Pistons,Denver Nuggets,32b76832c309e3eeaae30ad64fa2a125,fanduel,280,-350,0.24269005847953212,0.7573099415204678,0.23266864064669895,0.767331359353301,0.884140834457456,0.9865688905971012,0.0,0.0,0,0,
Detroit Pistons,Denver Nuggets,32b76832c309e3eeaae30ad64fa2a125,draftkings,300,-380,0.22916666666666674,0.7708333333333334,0.23266864064669895,0.767331359353301,0.9306745625867958,0.9692606644462749,0.0,0.0,0,0,
Detroit Pistons,Denver Nuggets,32b76832c309e3eeaae30ad64fa2a125,betmgm,290,-375,0.23346828609986503,0.766531713900135,0.23266864064669895,0.767331359353301,0.9074076985221259,0.9719530551808478,0.0,0.0,0,0,
Detroit Pistons,Denver Nuggets,32b76832c309e3eeaae30ad64fa2a125,barstool,300,-380,0.22916666666666674,0.7708333333333334,0.23266864064669895,0.767331359353301,0.9306745625867958,0.9692606644462749,0.0,0.0,0,0,
Detroit Pistons,Denver Nuggets,32b76832c309e3eeaae30ad64fa2a125,betrivers,300,-385,0.22809278350515472,0.7719072164948454,0.23266864064669895,0.767331359353301,0.9306745625867958,0.9666382059385741,0.0,0.0,0,0,
Washington Wizards,Milwaukee Bucks,d1f4cb522acf8860b9acd92266187cfa,fanduel,330,-420,0.21243291592128802,0.787567084078712,0.20739480639039423,0.7926051936096058,0.8917976674786952,0.9813207158976072,0.0,0.0,0,0,
Washington Wizards,Milwaukee Bucks,d1f4cb522acf8860b9acd92266187cfa,pinnacle,354,-428,0.20482912828727812,0.7951708717127219,0.20739480639039423,0.7926051936096058,0.9415724210123898,0.9777933229576444,0.0,0.0,0,0,
Washington Wizards,Milwaukee Bucks,d1f4cb522acf8860b9acd92266187cfa,draftkings,330,-425,0.2115171650055371,0.7884828349944629,0.20739480639039423,0.7926051936096058,0.8917976674786952,0.9791005332824543,0.0,0.0,0,0,
Washington Wizards,Milwaukee Bucks,d1f4cb522acf8860b9acd92266187cfa,betmgm,333,-450,0.20638253201763593,0.7936174679823641,0.20739480639039423,0.7926051936096058,0.8980195116704071,0.9687396810784071,0.0,0.0,0,0,
Washington Wizards,Milwaukee Bucks,d1f4cb522acf8860b9acd92266187cfa,barstool,340,-425,0.20887445887445885,0.7911255411255411,0.20739480639039423,0.7926051936096058,0.9125371481177347,0.9791005332824543,0.0,0.0,0,0,
Washington Wizards,Milwaukee Bucks,d1f4cb522acf8860b9acd92266187cfa,betrivers,350,-455,0.20120120120120122,0.7987987987987988,0.20739480639039423,0.7926051936096058,0.9332766287567741,0.9668041372600686,0.0,0.0,0,0,
Chicago Bulls,Miami Heat,7cd563db5190281d7d17b0c56ef1238c,fanduel,102,-120,0.4747974797479748,0.5252025202520252,0.47478064799066366,0.5252193520093364,0.9590569089411406,0.9629021453504503,0.0,0.0,0,0,
Chicago Bulls,Miami Heat,7cd563db5190281d7d17b0c56ef1238c,pinnacle,104,-115,0.47765617875057004,0.52234382124943,0.47478064799066366,0.5252193520093364,0.9685525219009539,0.981931832017455,0.0,0.0,0,0,
Chicago Bulls,Miami Heat,7cd563db5190281d7d17b0c56ef1238c,draftkings,100,-120,0.4772727272727273,0.5227272727272727,0.47478064799066366,0.5252193520093364,0.9495612959813273,0.9629021453504503,0.0,0.0,0,0,
Chicago Bulls,Miami Heat,7cd563db5190281d7d17b0c56ef1238c,betmgm,100,-120,0.4772727272727273,0.5227272727272727,0.47478064799066366,0.5252193520093364,0.9495612959813273,0.9629021453504503,0.0,0.0,0,0,
Chicago Bulls,Miami Heat,7cd563db5190281d7d17b0c56ef1238c,barstool,105,-125,0.46612466124661245,0.5338753387533876,0.47478064799066366,0.5252193520093364,0.9733003283808604,0.9453948336168057,0.0,0.0,0,0,
Chicago Bulls,Miami Heat,7cd563db5190281d7d17b0c56ef1238c,betrivers,102,-122,0.47274997770047267,0.5272500222995272,0.47478064799066366,0.5252193520093364,0.9590569089411406,0.9557270175907597,0.0,0.0,0,0,
Minnesota Timberwolves,New York Knicks,ab4fe6c0d53fc77a4be24b175c37ce8c,fanduel,-148,126,0.5771481587210961,0.42285184127890374,0.5834387725585708,0.4165612274414293,0.9776541594224699,0.9414283740176301,0.0,0.0,0,0,
Minnesota Timberwolves,New York Knicks,ab4fe6c0d53fc77a4be24b175c37ce8c,pinnacle,-155,140,0.5955882352941176,0.4044117647058824,0.5834387725585708,0.4165612274414293,0.9598508838866809,0.9997469458594304,0.0,0.0,0,0,
Minnesota Timberwolves,New York Knicks,ab4fe6c0d53fc77a4be24b175c37ce8c,draftkings,-148,124,0.5751728110599078,0.42482718894009214,0.5834387725585708,0.4165612274414293,0.9776541594224699,0.9330971494688017,0.0,0.0,0,0,
Minnesota Timberwolves,New York Knicks,ab4fe6c0d53fc77a4be24b175c37ce8c,betmgm,-155,125,0.5816993464052288,0.4183006535947713,0.5834387725585708,0.4165612274414293,0.9598508838866809,0.937262761743216,0.0,0.0,0,0,
Minnesota Timberwolves,New York Knicks,ab4fe6c0d53fc77a4be24b175c37ce8c,barstool,-150,130,0.5826086956521739,0.41739130434782606,0.5834387725585708,0.4165612274414293,0.9723979542642845,0.9580908231152874,0.0,0.0,0,0,
Minnesota Timberwolves,New York Knicks,ab4fe6c0d53fc77a4be24b175c37ce8c,betrivers,-152,128,0.5822890559732665,0.41771094402673353,0.5834387725585708,0.4165612274414293,0.9672800702944727,0.949759598566459,0.0,0.0,0,0,
New Orleans Pelicans,Sacramento Kings,804a769e0e1c232d4f6a050b24d00674,fanduel,-104,-112,0.49075101738808735,0.5092489826119128,0.493949260292436,0.5060507397075639,0.9689004721120861,0.957881757303603,0.0,0.0,0,0,
New Orleans Pelicans,Sacramento Kings,804a769e0e1c232d4f6a050b24d00674,draftkings,-110,-110,0.5,0.5,0.493949260292436,0.5060507397075639,0.9429940423764688,0.9660968667144402,0.0,0.0,0,0,
New Orleans Pelicans,Sacramento Kings,804a769e0e1c232d4f6a050b24d00674,betmgm,-110,-110,0.5,0.5,0.493949260292436,0.5060507397075639,0.9429940423764688,0.9660968667144402,0.0,0.0,0,0,
New Orleans Pelicans,Sacramento Kings,804a769e0e1c232d4f6a050b24d00674,barstool,-105,-115,0.48865570051049345,0.5113442994895064,0.493949260292436,0.5060507397075639,0.9643771272376132,0.9460948611924019,0.0,0.0,0,0,
New Orleans Pelicans,Sacramento Kings,804a769e0e1c232d4f6a050b24d00674,betrivers,-105,-114,0.4897424207886939,0.5102575792113061,0.493949260292436,0.5060507397075639,0.9643771272376132,0.9499548973457779,0.0,0.0,0,0,
San Antonio Spurs,LA Clippers,56a86c4788e5b737136b7ceb370fec72,fanduel,310,-390,0.22399203583872573,0.7760079641612743,0.23372498955265264,0.7662750104473472,0.9582724571658757,0.9627557823569235,0.0,0.0,0,0,
San Antonio Spurs,LA Clippers,56a86c4788e5b737136b7ceb370fec72,draftkings,295,-375,0.2318454363757495,0.7681545636242505,0.23372498955265264,0.7662750104473472,0.9232137087329779,0.9706150132333065,0.0,0.0,0,0,
San Antonio Spurs,LA Clippers,56a86c4788e5b737136b7ceb370fec72,betmgm,290,-375,0.23346828609986503,0.766531713900135,0.23372498955265264,0.7662750104473472,0.9115274592553453,0.9706150132333065,0.0,0.0,0,0,
San Antonio Spurs,LA Clippers,56a86c4788e5b737136b7ceb370fec72,barstool,280,-350,0.24269005847953212,0.7573099415204678,0.23372498955265264,0.7662750104473472,0.88815496030008,0.9852107277180178,0.0,0.0,0,0,
San Antonio Spurs,LA Clippers,56a86c4788e5b737136b7ceb370fec72,betrivers,285,-360,0.23856578204404288,0.7614342179559571,0.23372498955265264,0.7662750104473472,0.8998412097777126,0.9791291800160548,0.0,0.0,0,0,
Golden State Warriors,Houston Rockets,0efccf322cfdd2daa3c9c7132655121d,fanduel,-320,260,0.7420634920634921,0.257936507936508,0.744888869953523,0.25511113004647695,0.977666641813999,0.918400068167317,0.0,0.0,0,0,
Golden State Warriors,Houston Rockets,0efccf322cfdd2daa3c9c7132655121d,draftkings,-340,270,0.7512285012285012,0.24877149877149873,0.744888869953523,0.25511113004647695,0.9639738317045592,0.9439111811719648,0.0,0.0,0,0,
Golden State Warriors,Houston Rockets,0efccf322cfdd2daa3c9c7132655121d,betmgm,-350,260,0.75,0.25,0.744888869953523,0.25511113004647695,0.9577142613688152,0.918400068167317,0.0,0.0,0,0,
Golden State Warriors,Houston Rockets,0efccf322cfdd2daa3c9c7132655121d,barstool,-320,260,0.7420634920634921,0.257936507936508,0.744888869953523,0.25511113004647695,0.977666641813999,0.918400068167317,0.0,0.0,0,0,
Golden State Warriors,Houston Rockets,0efccf322cfdd2daa3c9c7132655121d,betrivers,-315,255,0.7386730018666214,0.2613269981333786,0.744888869953523,0.25511113004647695,0.9813615270816255,0.9056445116649932,0.0,0.0,0,0,
